source_key,source_type,status,database_fragment_id,date,diary,page_name,place_after,image_relative_path,database_sequence,reason
"fragments/1828/01/17-img2836-left","LEGACY","MATCHED_EXACT","21","1828-01-17","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/18-img2836-left","LEGACY","MATCHED_EXACT","22","1828-01-18","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/19-img2836-left","LEGACY","MATCHED_EXACT","23","1828-01-19","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/20-img2836-left","LEGACY","MATCHED_EXACT","24","1828-01-20","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/21-img2836-left","LEGACY","MATCHED_EXACT","25","1828-01-21","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/22-img2836-right","LEGACY","MATCHED_EXACT","26","1828-01-22","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/23-img2836-right","LEGACY","MATCHED_EXACT","27","1828-01-23","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/24-img2836-right","LEGACY","MATCHED_EXACT","28","1828-01-24","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/25-img2836-right","LEGACY","MATCHED_EXACT","29","1828-01-25","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/26-img2836-right","LEGACY","MATCHED_EXACT","30","1828-01-26","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/27-img2836-right","LEGACY","MATCHED_EXACT","31","1828-01-27","diary-1828-and-1829-and-jan-1830","img2836","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/28-img2837-left","LEGACY","MATCHED_EXACT","32","1828-01-28","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/29-img2837-left","LEGACY","MATCHED_EXACT","33","1828-01-29","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/30-img2837-left","LEGACY","MATCHED_EXACT","34","1828-01-30","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/31-img2837-left","LEGACY","MATCHED_EXACT","35","1828-01-31","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/01-img2837-left","LEGACY","MATCHED_EXACT","36","1828-02-01","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/02-img2837-left","LEGACY","MATCHED_EXACT","37","1828-02-02","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/03-img2837-right","LEGACY","MATCHED_EXACT","38","1828-02-03","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/04-img2837-right","LEGACY","MATCHED_EXACT","39","1828-02-04","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/05-img2837-right","LEGACY","MATCHED_EXACT","40","1828-02-05","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/06-img2837-right","LEGACY","MATCHED_EXACT","41","1828-02-06","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/07-img2837-right","LEGACY","MATCHED_EXACT","42","1828-02-07","diary-1828-and-1829-and-jan-1830","img2837","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/08-img2838-left","LEGACY","MATCHED_EXACT","43","1828-02-08","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/09-img2838-left","LEGACY","MATCHED_EXACT","44","1828-02-09","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/10-img2838-left","LEGACY","MATCHED_EXACT","45","1828-02-10","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/11-img2838-left","LEGACY","MATCHED_EXACT","46","1828-02-11","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/12-img2838-left","LEGACY","MATCHED_EXACT","47","1828-02-12","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/13-img2838-left","LEGACY","MATCHED_EXACT","48","1828-02-13","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/14-img2838-left","LEGACY","MATCHED_EXACT","49","1828-02-14","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/15-img2838-right","LEGACY","MATCHED_EXACT","50","1828-02-15","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/16-img2838-right","LEGACY","MATCHED_EXACT","51","1828-02-16","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/17-img2838-right","LEGACY","MATCHED_EXACT","52","1828-02-17","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/18-img2838-right","LEGACY","MATCHED_EXACT","53","1828-02-18","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/19-img2838-right","LEGACY","MATCHED_EXACT","54","1828-02-19","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/20-img2838-right","LEGACY","MATCHED_EXACT","55","1828-02-20","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/21-img2838-right","LEGACY","MATCHED_EXACT","56","1828-02-21","diary-1828-and-1829-and-jan-1830","img2838","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/22-img2839-left","LEGACY","MATCHED_EXACT","57","1828-02-22","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/23-img2839-left","LEGACY","MATCHED_EXACT","58","1828-02-23","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/24-img2839-left","LEGACY","MATCHED_EXACT","59","1828-02-24","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/25-img2839-left","LEGACY","MATCHED_EXACT","60","1828-02-25","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/26-img2839-left","LEGACY","MATCHED_EXACT","61","1828-02-26","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/27-img2839-left","LEGACY","MATCHED_EXACT","62","1828-02-27","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/28-img2839-left","LEGACY","MATCHED_EXACT","63","1828-02-28","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/02/29-img2839-left","LEGACY","MATCHED_EXACT","64","1828-02-29","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/01-img2839-right","LEGACY","MATCHED_EXACT","65","1828-03-01","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/02-img2839-right","LEGACY","MATCHED_EXACT","66","1828-03-02","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/03-img2839-right","LEGACY","MATCHED_EXACT","67","1828-03-03","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/04-img2839-right","LEGACY","MATCHED_EXACT","68","1828-03-04","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/05-img2839-right","LEGACY","MATCHED_EXACT","69","1828-03-05","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/06-img2839-right","LEGACY","MATCHED_EXACT","70","1828-03-06","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/07-img2839-right","LEGACY","MATCHED_EXACT","71","1828-03-07","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/08-img2839-right","LEGACY","MATCHED_EXACT","72","1828-03-08","diary-1828-and-1829-and-jan-1830","img2839","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/09-img2840-left","LEGACY","MATCHED_EXACT","73","1828-03-09","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/10-img2840-left","LEGACY","MATCHED_EXACT","74","1828-03-10","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/11-img2840-left","LEGACY","MATCHED_EXACT","75","1828-03-11","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/12-img2840-left","LEGACY","MATCHED_EXACT","76","1828-03-12","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/13-img2840-left","LEGACY","MATCHED_EXACT","77","1828-03-13","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/14-img2840-left","LEGACY","MATCHED_EXACT","78","1828-03-14","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/15-img2840-left","LEGACY","MATCHED_EXACT","79","1828-03-15","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/16-img2840-left","LEGACY","MATCHED_EXACT","80","1828-03-16","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/17-img2840-left","LEGACY","MATCHED_EXACT","81","1828-03-17","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/18-img2840-right","LEGACY","MATCHED_EXACT","82","1828-03-18","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/19-img2840-right","LEGACY","MATCHED_EXACT","83","1828-03-19","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/20-b-img2840-image-map-whitley-park","LEGACY","MISSING_FROM_DATABASE","","1828-03-20","diary-1828-and-1829-and-jan-1830","","","","","no unclaimed database row has the same date and Page context"
"fragments/1828/03/20-img2840-right","LEGACY","MATCHED_EXACT","85","1828-03-20","diary-1828-and-1829-and-jan-1830","img2840","","","2.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/21-img2840-right","LEGACY","MATCHED_EXACT","86","1828-03-21","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/22-img2840-right","LEGACY","MATCHED_EXACT","87","1828-03-22","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/23-img2840-right","LEGACY","MATCHED_EXACT","88","1828-03-23","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/24-img2840-right","LEGACY","MATCHED_EXACT","89","1828-03-24","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/25-img2840-right","LEGACY","MATCHED_EXACT","90","1828-03-25","diary-1828-and-1829-and-jan-1830","img2840","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/26-img2841-left","LEGACY","MATCHED_EXACT","91","1828-03-26","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/27-img2841-left","LEGACY","MATCHED_EXACT","92","1828-03-27","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/28-img2841-left","LEGACY","MATCHED_EXACT","93","1828-03-28","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/29-img2841-left","LEGACY","MATCHED_EXACT","94","1828-03-29","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/30-img2841-left","LEGACY","MATCHED_EXACT","95","1828-03-30","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/31-b-img2841-image-map-commercial-hotel","LEGACY","MATCHED_EXACT","96","1828-03-31","","","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/03/31-img2841-left","LEGACY","MATCHED_EXACT","97","1828-03-31","diary-1828-and-1829-and-jan-1830","img2841","","","2.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/01-img2841-right","LEGACY","MATCHED_EXACT","98","1828-04-01","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/02-img2841-right","LEGACY","MATCHED_EXACT","99","1828-04-02","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/03-img2841-right","LEGACY","MATCHED_EXACT","100","1828-04-03","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/04-img2841-right","LEGACY","MATCHED_EXACT","101","1828-04-04","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/05-img2841-right","LEGACY","MATCHED_EXACT","102","1828-04-05","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/06-img2841-right","LEGACY","MATCHED_EXACT","103","1828-04-06","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/07-img2841-right","LEGACY","MATCHED_EXACT","104","1828-04-07","diary-1828-and-1829-and-jan-1830","img2841","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/08-img2842-left","LEGACY","MATCHED_EXACT","105","1828-04-08","diary-1828-and-1829-and-jan-1830","img2842","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/09-img2842-left","LEGACY","MATCHED_EXACT","106","1828-04-09","diary-1828-and-1829-and-jan-1830","img2842","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/10-img2842-left","LEGACY","MATCHED_EXACT","107","1828-04-10","diary-1828-and-1829-and-jan-1830","img2842","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/11-img2842-left","LEGACY","MATCHED_EXACT","108","1828-04-11","diary-1828-and-1829-and-jan-1830","img2842","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/12-img2842-left","LEGACY","MATCHED_EXACT","109","1828-04-12","diary-1828-and-1829-and-jan-1830","img2842","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/13-img2842-left","LEGACY","MATCHED_EXACT","110","1828-04-13","diary-1828-and-1829-and-jan-1830","img2842","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/14-img2842-left","LEGACY","MATCHED_EXACT","111","1828-04-14","diary-1828-and-1829-and-jan-1830","img2842","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/15-img2842-right","LEGACY","MATCHED_EXACT","112","1828-04-15","diary-1828-and-1829-and-jan-1830","img2842","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/16-img2842-right","LEGACY","MATCHED_EXACT","113","1828-04-16","diary-1828-and-1829-and-jan-1830","img2842","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/17-b1-img2842-image-broomville-house","LEGACY","MATCHED_EXACT","114","1828-04-17","","","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/17-b2-img2842-image-clogrennane-house","LEGACY","MATCHED_EXACT","115","1828-04-17","","","","","2.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/17-b3-img2842-image-map-carlow","LEGACY","MATCHED_EXACT","116","1828-04-17","","","","","3.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/17-b4-img2842-image-map-dublin","LEGACY","MATCHED_EXACT","117","1828-04-17","","","","","4.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/17-b5-img2842-image-map-tynemouth-to-carlow","LEGACY","MATCHED_EXACT","118","1828-04-17","","","","","5.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/17-img2842-right","LEGACY","MATCHED_EXACT","119","1828-04-17","diary-1828-and-1829-and-jan-1830","img2842","","","6.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/17-img2843-left","LEGACY","MATCHED_EXACT","120","1828-04-17","diary-1828-and-1829-and-jan-1830","img2843","","","7.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/18-img2843-left","LEGACY","MATCHED_EXACT","121","1828-04-18","diary-1828-and-1829-and-jan-1830","img2843","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/19-img2843-left","LEGACY","MATCHED_EXACT","122","1828-04-19","diary-1828-and-1829-and-jan-1830","img2843","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/20-img2843-left","LEGACY","MATCHED_EXACT","123","1828-04-20","diary-1828-and-1829-and-jan-1830","img2843","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/21-img2843-right","LEGACY","MATCHED_EXACT","124","1828-04-21","diary-1828-and-1829-and-jan-1830","img2843","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/22-img2843-right","LEGACY","MATCHED_EXACT","125","1828-04-22","diary-1828-and-1829-and-jan-1830","img2843","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/23-img2843-right","LEGACY","MATCHED_EXACT","126","1828-04-23","diary-1828-and-1829-and-jan-1830","img2843","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/24-img2843-right","LEGACY","MATCHED_EXACT","127","1828-04-24","diary-1828-and-1829-and-jan-1830","img2843","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/25-img2843-right","LEGACY","MATCHED_EXACT","128","1828-04-25","diary-1828-and-1829-and-jan-1830","img2843","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/26-img2843-right","LEGACY","MATCHED_EXACT","129","1828-04-26","diary-1828-and-1829-and-jan-1830","img2843","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/27-img2844-left","LEGACY","MATCHED_EXACT","130","1828-04-27","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/28-img2844-left","LEGACY","MATCHED_EXACT","131","1828-04-28","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/29-img2844-left","LEGACY","MATCHED_EXACT","132","1828-04-29","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/04/30-img2844-left","LEGACY","MATCHED_EXACT","133","1828-04-30","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/01-img2844-left","LEGACY","MATCHED_EXACT","134","1828-05-01","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/02-img2844-left","LEGACY","MATCHED_EXACT","135","1828-05-02","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/03-img2844-right","LEGACY","MATCHED_EXACT","136","1828-05-03","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/04-img2844-right","LEGACY","MATCHED_EXACT","137","1828-05-04","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/05-img2844-right","LEGACY","MATCHED_EXACT","138","1828-05-05","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/06-img2844-right","LEGACY","MATCHED_EXACT","139","1828-05-06","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/07-img2844-right","LEGACY","MATCHED_EXACT","140","1828-05-07","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/08-img2844-right","LEGACY","MATCHED_EXACT","141","1828-05-08","diary-1828-and-1829-and-jan-1830","img2844","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/09-img2845-left","LEGACY","MATCHED_EXACT","142","1828-05-09","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/10-img2845-left","LEGACY","MATCHED_EXACT","143","1828-05-10","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/11-img2845-left","LEGACY","MATCHED_EXACT","144","1828-05-11","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/12-img2845-left","LEGACY","MATCHED_EXACT","145","1828-05-12","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/13-img2845-left","LEGACY","MATCHED_EXACT","146","1828-05-13","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/14-img2845-left","LEGACY","MATCHED_EXACT","147","1828-05-14","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/15-img2845-left","LEGACY","MATCHED_EXACT","148","1828-05-15","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/16-img2845-right","LEGACY","MATCHED_EXACT","149","1828-05-16","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/17-img2845-right","LEGACY","MATCHED_EXACT","150","1828-05-17","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/18-img2845-right","LEGACY","MATCHED_EXACT","151","1828-05-18","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/19-img2845-right","LEGACY","MATCHED_EXACT","152","1828-05-19","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/20-img2845-right","LEGACY","MATCHED_EXACT","153","1828-05-20","diary-1828-and-1829-and-jan-1830","img2845","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/21-img2846-left","LEGACY","MATCHED_EXACT","154","1828-05-21","diary-1828-and-1829-and-jan-1830","img2846","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/05/22-img2846-left","LEGACY","MATCHED_EXACT","155","1828-05-22","diary-1828-and-1829-and-jan-1830","img2846","","","1.0000","date, Page context and imported HTML hash match"
