"relativePath","fragmentId","inputRow","candidateIndex","status","imageId","matchMethod","sourceSha256"
"diary-1828-and-1829-and-jan-1830/images/img2910-commodore-trunnion-and-jack-hatchway.jpg","632","33","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","bafb6eef265149634bb45714a94645e5dc389b422bcbbf0b9e72c937dd4d04db"
"diary-1828-and-1829-and-jan-1830/images/img2910-peregrine-pickle-1st-edition.png","633","34","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","258848a27ee0bc052dfba90475375bc12e17cb74c0ae602e1211c5719b97abae"
"diary-1828-and-1829-and-jan-1830/images/img2920-WhiteHorse1896.jpg","684","38","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","e5c3bd1bc7d8f59ccf85d582112ad5229d7ac2ebe9d5c6ab55d26dcbc17799d0"
"diary-1828-and-1829-and-jan-1830/images/img2920-image-map-london.png","679","35","1","AMBIGUOUS_PATH","","UNIQUE_LOCAL_SUFFIX","91399d676e3f5de0518e62532539bf227bafbf9bc30ba5795d5fbf9f39fd1614"
"diary-1828-and-1829-and-jan-1830/images/img2920-the-cock-fleet-street-london.png","683","37","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","812da0d57cfb4c911a9cf69925c8baf8b9c6b1244554f62661618838ce152f32"
"diary-1828-and-1829-and-jan-1830/images/img2926-burnhopeside-hall.jpg","720","39","1","AMBIGUOUS_PATH","","UNIQUE_LOCAL_SUFFIX","6392ca012873a103a2955acf06a7fed3e9df5ad337510036bb3b43308eb991d4"
"diary-1828-and-1829-and-jan-1830/images/img2926-lanchester-church.jpg","722","40","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","b275d9f9e837188ad70a559b19d76d03349dd5dd414e8de87709e07bf78dfd51"
"diary-1828-and-1829-and-jan-1830/images/img2927-the-kings-head-lanchester.jpg","725","41","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","0f58ea60fcff04e4408a6fe85af195de9897d9eb8737961c4ec51690757e02f1"
"diary-1828-and-1829-and-jan-1830/images/the-tynemouth-lodge-hotel.jpg","809","43","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","b9ea971ea16369c207fc68d36404ede3c2de2454bfa1b4ed48fa213e3e3eddd4"
"diary-1830/images/img2381-image-map.jpg","980","44","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","e191a5e01844222eb4ce93ce97575c6b0a0f5b01709be78e3aecd1c9f56955ae"
"diary-1830/images/img2390-image-bullring.png","1029","45","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","f8ec309da0ea38d875a1d5f4d88fc11988f9eaafb2cf0575c0aab0f16d876392"
"diary-1830/images/img2394-image-eldon-square-2.jpg","1030","46","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","46bc21cce148a7f2474303425495123fd2bb509f1a5eb5f15617f3c0d1bf2ed0"
"diary-1830/images/img2398-image-archangel-map.png","1043","47","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","cdabc06206abc9f4e2d4aca05aeddb349c732263cd148c59cd2380dfd324a809"
"diary-1831/images/img2734-doodle-on-blotting-paper.jpg","1182","48","1","MISSING_FILE_OR_IMAGE","","EXACT","1bb9b6992f4dff1ae2760bd629409f023fc3c60634d4bec6aa7de5b0239a8732"
"diary-1831/images/img2753-white-swan-alnwick.png","1251","49","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","ccc8ffe3b829ba30bbdbc2e74f824a5ad91b0ce0e01fc775b37c212fd0068887"
"diary-1831/images/img2754-castle-alnwick.png","1253","50","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","a5bd585d1d34f37080417e2de96ee2cd85ab2eb78ff9921f2a9ca798640e711b"
"diary-1831/images/img2754-the-bull-alnwick.png","1262","51","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","76fee0aa0b9e20098c07866a329987eb358bb4f07db4d9f052844ce60ec3d0ac"
"diary-1831/images/img2755-bondgate-hall.png","1269","52","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","112e511bd186320e8ceae6c23542f43031dc4970332760da637a88258e77f000"
"diary-1831/images/img2758-charlotte-square-newcastle.png","1276","53","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","569678b48e67edfc97f0090992899b048813537984a9c944834f847625faf47d"
"diary-1831/images/img2758-northumberland-alms-tynemouth.png","1279","54","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","2bc9e287d0a7fd1f52dae36b3f117be37c10d34e388c67fb2844f564c4cd02bd"
